#time_step time(Gyrs) avg_mfs(unweighted) avg_mfs(density_weighted) avg_mfs_cgm avg_mfs_rho_cgm avg_mfs_disk avg_mfs_rho_disk 
0.000000e+00 0.000000 1.139414e-07 9.975720e-07 7.877867e-23 7.877867e-23 6.785427e-07 9.977946e-07 
2.000000e+02 0.999978 3.617577e-07 1.416094e-05 2.056167e-08 6.807383e-08 1.719376e-06 1.421173e-05 
4.000000e+02 1.999956 7.076320e-07 1.072522e-05 5.119978e-08 1.651131e-07 3.300014e-06 1.083063e-05 
6.000000e+02 2.999934 5.219439e-07 8.602414e-06 3.690717e-08 1.105883e-07 2.473187e-06 8.692484e-06 
8.000000e+02 3.999912 4.735619e-07 6.999984e-06 4.036156e-08 1.150899e-07 2.230997e-06 7.084934e-06 
1.000000e+03 4.999890 4.365176e-07 6.047974e-06 4.265584e-08 1.229391e-07 2.035723e-06 6.129535e-06 
1.200000e+03 5.999867 4.014485e-07 5.170486e-06 4.515008e-08 1.093796e-07 1.890977e-06 5.242736e-06 
1.400000e+03 6.999845 3.088281e-07 4.626021e-06 4.487971e-08 1.041893e-07 1.417780e-06 4.687423e-06 
1.600000e+03 7.999823 2.855561e-07 5.104713e-06 4.209693e-08 9.640117e-08 1.393689e-06 5.168509e-06 
1.800000e+03 8.999801 2.888976e-07 4.722995e-06 4.163984e-08 9.568333e-08 1.481459e-06 4.781826e-06 
2.000000e+03 9.999778 2.853631e-07 4.656554e-06 3.839301e-08 8.152199e-08 1.454987e-06 4.713270e-06 
2.200000e+03 10.999756 2.853631e-07 4.656554e-06 3.839301e-08 8.152199e-08 1.454987e-06 4.713270e-06 
2.400000e+03 11.999734 2.853631e-07 4.656554e-06 3.839301e-08 8.152199e-08 1.454987e-06 4.713270e-06 
2.600000e+03 12.999712 2.853631e-07 4.656554e-06 3.839301e-08 8.152199e-08 1.454987e-06 4.713270e-06 
