#time_step time(Gyrs) avg_mfs(unweighted) avg_mfs(density_weighted) avg_mfs_cgm avg_mfs_rho_cgm avg_mfs_disk avg_mfs_rho_disk 
0.000000e+00 0.000000 1.139414e-07 9.975720e-07 7.877867e-23 7.877867e-23 6.785427e-07 9.977946e-07 
2.000000e+02 0.999978 5.575635e-07 1.406766e-05 1.792683e-08 4.367710e-08 2.722002e-06 1.409399e-05 
4.000000e+02 1.999956 8.959035e-07 9.239997e-06 4.221041e-08 1.124418e-07 3.850407e-06 9.311644e-06 
6.000000e+02 2.999833 7.856629e-07 1.262051e-05 6.393299e-08 1.748367e-07 3.396279e-06 1.275353e-05 
8.000000e+02 3.999912 8.248100e-07 8.143118e-06 8.062039e-08 2.957502e-07 3.659105e-06 8.266192e-06 
1.000000e+03 4.999890 7.625861e-07 6.370009e-06 7.961619e-08 3.324940e-07 3.239902e-06 6.469242e-06 
1.200000e+03 5.999867 7.353157e-07 6.819022e-06 8.587738e-08 3.145293e-07 3.255108e-06 6.942441e-06 
1.400000e+03 6.999845 6.927447e-07 5.807293e-06 9.261924e-08 3.469386e-07 3.161210e-06 5.940267e-06 
1.600000e+03 7.999823 6.581094e-07 7.998886e-06 9.168396e-08 4.271606e-07 3.048351e-06 8.187185e-06 
1.800000e+03 8.999801 7.318107e-07 6.485884e-06 1.047290e-07 4.643571e-07 3.476210e-06 6.666660e-06 
2.000000e+03 9.999779 6.334800e-07 8.755082e-06 9.305642e-08 4.637104e-07 3.300435e-06 9.038627e-06 
2.200000e+03 10.999756 5.964557e-07 5.763360e-06 9.100679e-08 4.196124e-07 3.232798e-06 5.954543e-06 
2.400000e+03 11.999734 6.035993e-07 5.405974e-06 8.545964e-08 4.334032e-07 3.287516e-06 5.615314e-06 
2.600000e+03 12.999712 5.246699e-07 3.812338e-06 1.084116e-07 5.099752e-07 2.839201e-06 3.950762e-06 
